Heap initialized
710813609,-366429344,117143457 inserted
Top: -306641263
625949,967985290,200982771,-789353681,356007935,-214367162 inserted
76595115,663903334,962701560,-150963708,-193692642,606276429 inserted
969657267,-929258041 inserted
Top: -306641263
520950408,-666005201,906457495,-75929295,-1892750 inserted
-30272908,-221908699,-49087431,296191041,-707047140,843213988,616824514,477916665,217856360 inserted
-866106223,370795435,-539193936 inserted
-771951800,-992079077,259682563,-887516938,-380480328,-482614157 inserted
Top: -306641263
-306641263 extracted
547087911 extracted
-759669417 inserted
-537694222 extracted
-228806258,652416008 inserted
-83475280,-971986571,-253859635,-317131093 inserted
126077736,-25289380,-746327997,-744279581,-140048048,-986093042,398701181,-713878025,430822419,-761631568 inserted
677065333,560969692,-121167740,204244109,-125466865 inserted
Top: 812422806
75131166,-208726727,-319610878,28819967,-984161734,963511095,826806394,-25054424,86975198,887415807 inserted
Top: 812422806
Top: 812422806
812422806 extracted
Top: -422573791
-422573791 extracted
-841946979,-479853609,-551430840,-920531299,-921748576,852626550,722891122,838425678 inserted
Top: 970439825
425578877,165765482,608566128,-650236277,-521217585,714531355,-638303965,-136165939,678596940,579453804 inserted
Top: 970439825
775457413,-266579366,-10453198,77322692,342218984,-642047723,582383497,-812092169 inserted
-503382512,-909997591,903020535,-741446783,203709635 inserted
970439825 extracted
-929295657,812581393,653198134,505589823,-633452316,-412157239,409788333,111478460 inserted
Top: 25998601
95783657 inserted
Top: 25998601
25998601 extracted
-863464926 extracted
-783523887 extracted
245242555,-834581707,-233390314,475181962,-682385885,587062878,-768097943 inserted
-974484597,-283327670,-487678943,2881768,650541907,92110145 inserted
571360900,-923955190,748433597,-827356396,462865509,193984480,-800509968,-227968223,-165162803 inserted
Top: -759669417
Top: -759669417
-547607524,-652182279,957687944,173268636,-486140174,-954662589,695852935,-853164382,316077528,405425639 inserted
-96842820 inserted
-759669417 extracted
95783657 extracted
313236940 inserted
458485866,970561876,-211573208,-185173575,-682758705,-597358235,-765564785 inserted
-96842820 extracted
Top: 313236940
447953841,-820155087,-470851311,-639876092,939790223,-645769614,727099512 inserted
-233249373,987891744,-37014656,-728478843,916394841,675608973,-932032600,-292793189,-826581614,219656166 inserted
-622041127,975465820,607866779,469105449,977660106,-958427995,996311566,-349421503,-293284591,-395057018 inserted
Top: 313236940
856157858,502571071,786189496,949127573,775055173,-937817772,-16163497,-993273660,-805966162,-861799275 inserted
313236940 extracted
-7727614,451668131,-402259079 inserted
-865583529,538037930,506687293,-601781014 inserted
-619052461,828429882,-460981929,-469337455,232494328,-927794376,612527130 inserted
Top: 913659361,-87887323
21812009,636394630,458447956,-64705263,807404840,-74513036,-653578324,-399967402 inserted
-633186480,-969552943,-844536772,581761997,13898469,-628810854,-567266902,46253234,462676689,-149156122 inserted
-321495716,-136794735,149613065,646046761,-898840974,-224792701,-848788194,56954397 inserted
-77036678,-766351620 inserted
913659361,-87887323 extracted
Top: 265844994,749104461
265844994,749104461 extracted
-221773770,-165209706 inserted
-225467208,-63026921,804411887,-134639664,425744824,-571039804,-743972218,899377728 inserted
-424951651,895891367 inserted
970053671,-578616931 extracted
209975133,250456937,45541559,172488515,-849556961,512142558,222875967 inserted
605297112,962086003,644407880,356673922,620013460,-461096634,715142371,-316836291,692910436,6401589 inserted
858925160,-385261266 extracted
266313307,879080724 extracted
-150771302,-771686440 extracted
518494727,46032667,-429456991,-956938888 inserted
Top: 211277518,998365065
211277518,998365065 extracted
-49089013,-786827120,-457976807,-441501243,-498270136,958717529 inserted
Top: -26010184,592998569
-26010184,592998569 extracted
-930385124,-926985515,-73877106,-675189537,127710860,-678150596,-565541702,-824327313,404282303,666924520 inserted
Top: 343853318,590080595
68354031,220018019,669667410 inserted
-848386411,470130338,683272825,-325467279,386243255 inserted
Top: 343853318,590080595
-284327059,833358558,632022586,827811512 inserted
-455093294,-781519828,445260821,-858649227,-77860020,-505480916,-245546521,914010354,689608959 inserted
272370418,616174401,601728468,-694039639,880823586,993818439,-490404275,950776402,32439639,-374043620 inserted
-963799196,801571837,682732806,-417115426,-471525320,-649061358,-115789828 inserted
531591938,-603769230,916076949,-996259641,-843414813,-79968924 inserted
343853318,590080595 extracted
-435888142,-137818454 inserted
263009614,-42697819 extracted
-587993081,-417620016,377200219,696187931,989584311,252939199,956186972 inserted
Top: 152021901,479818019
Top: 152021901,479818019
225750442 inserted
Top: 225750442
225750442 extracted
-998740644,-49558651,-179030421,-839308724,603080411 inserted
186555014,910141152,717847290 inserted
Top: 152021901,479818019
-522733370,-287778658,798399605,676508478,-506476551,578875217,798380716,757839791 inserted
-800070903 inserted
Top: -800070903
916137413 inserted
Top: -800070903
Top: -800070903
-303991776 inserted
-800070903 extracted
561616331,-72820828,156527209,-756661150,-44895031,-268716958,275965971 inserted
-264191001,866972036,42525911,439294774,-724615722,-120722978 inserted
Top: 916137413
378695248 inserted
Top: 916137413
Top: 916137413
561168659,-795552012,503262523 inserted
Top: 916137413
-396328976 inserted
916137413 extracted
Top: -303991776
-303991776 extracted
-499933869,-447081432 inserted
-217639945,988822672,-16270124,-234209492,-913519246,-383074501,798327545,-556930708,-80010035,-380236771 inserted
-865300718,-432596988,-541562963,422031143,202600231,869305775,-777542335 inserted
485090523,-640454005,653127023 inserted
936269176,-949353027,-535612326,-633190942,-931361797 inserted
378695248 extracted
Top: -396328976
-832369146,-606504624,-77813185 inserted
Top: -396328976
Top: -396328976
766422070,-111919678,-101827083 inserted
-396328976 extracted
533384386,958981566,901409030,100460942,17208832,916523842,-553348971,-558391496,-658658127 inserted
-143329746,-376857868,95455657,801808967,-517765431,110842253,237779730,18564614,720301384,804871461 inserted
-226026458,-283823819,628959173,-698919687,-808515758,128388530,211189196,-758508910 inserted
Top: 152021901,479818019
-842228734 inserted
Top: -842228734
Top: -842228734
-842228734 extracted
419208564,905576011,366889252,108812851 inserted
-195118881,591104070,693501384,878750145,520201772,-68797469 inserted
-875817559,633965278,945193196,176266630,808064106 inserted
-105269170,868840144,-882590880 inserted
Top: 152021901,479818019
Top: 152021901,479818019
-552232643,-928620487,901908848,226472070,-444448401,-519259535,339992716,-465855927 inserted
Top: 152021901,479818019
152021901,479818019 extracted
-233739521,-296867933,-792133998,177839216 inserted
-36659497,89438871 extracted
167230129,-196744053,-8564012,-77385773,947470,-471400196,864951659,-129613888,939499081,184230147 inserted
Top: -45918804,246011223
598469846,436158223,110242804,494568637,-522519217,-426043953,312046573 inserted
Top: -45918804,246011223
-45918804,246011223 extracted
322057701,-851069030,785758328,-84952712,-54413050,-684707635 inserted
-619855568,494049098 extracted
288859390,-156541096 extracted
900699946,526431760,-544955650,-101658547,793103406 inserted
375678007,-367419935 extracted
Top: -522370809,-223055499
727148084,-533950523,408130858,316998427,-168412818,931842002 inserted
-522370809,-223055499 extracted
-565600909,-745484706,-621513963 inserted
970374617,503958579,867837699,204994157,-201775813,253263737,-280489006,201029588,136150480 inserted
-911889625,521428865,441953493 inserted
-242001666,83402210,86105586 inserted
Top: -106938711,-353638752
-106938711,-353638752 extracted
-225536553,-663650307,344987567 inserted
-3471223,-277790806,384886484,357067066,122196901,-396173386,-343257241,533303621,-344307065,-782483159 inserted
757737593,634080161,-582802121,323069665,-902681728 inserted
530460452,-609211730,-191773839,-412690331,-73676888,-663503308,87610125,-93790111,-397404779 inserted
73387807,392450879,-786698914,-371121530,125449005 inserted
35271013,241185818 extracted
135881868,-822189814 extracted
-439908591,-83925855 inserted
Top: 386929690,530223826
386929690,530223826 extracted
567904768,-350854397 extracted
Top: 10371909,697831454
10371909,697831454 extracted
-317560780,-993815312,-342068412,871951302,651287208,-320105665,-414446695,-780064662,681970962 inserted
-786727775,-348926096 extracted
Top: 321725251,-522005631
321725251,-522005631 extracted
44276289,-993282398,-596915282,144027282,-599891795,668737344,-136899976 inserted
183943525,-777945943 extracted
Top: -753845151,-36183969
Top: -753845151,-36183969
-274565151,-17877069,-744392494,214844637 inserted
-262842117 inserted
-262842117 extracted
-343957587,-300116733,-152884745,-100543460,-355560738 inserted
80100162,626434878,106061482,-748871868,948244133,-409012682,994037275 inserted
-753845151,-36183969 extracted
-402039646,718645619,507959024,398407087 inserted
-209767146,85389177 extracted
877425029,-838374459 extracted
358154916 inserted
-68991762,973886762,288161509,-489990223,-590771287,61963752,831597155 inserted
-781951370,-288879433,-894060458,510290949 inserted
Top: 358154916
-810165137,-505602290,913694638,282943264,650238730 inserted
-690001727 inserted
-744920114,-969192077 inserted
358154916 extracted
109592322,663465359,-188092159,-653957349,998505261 inserted
Top: -690001727
Top: -690001727
-22898205,-477559594,-288352313,858683405,-425224930,555144808,595907147 inserted
835004061,345789904,-152936670,-948757990,-672986235,706599110,-113429227,276593464,-725651475,-700381958 inserted
Top: -690001727
-690001727 extracted
Top: -865753441,220856580
Top: -865753441,220856580
-339563527,-38826522,-19630316,-865995238,-982993053,-471687218,-60335372,196271193,-888980969 inserted
Top: -865753441,220856580
-838347245,-85401162,182703359,-544179630,261988298,182279808,-430867077,-414833685 inserted
-865753441,220856580 extracted
Top: -156988584,-582836474
436811204,-590686737,-561206234 inserted
Top: -156988584,-582836474
-156988584,-582836474 extracted
688073019,-98091124 inserted
-469136978,80507840 extracted
Top: 969657267,-929258041
897480250 inserted
897480250 extracted
969657267,-929258041 extracted
-398486722,-172734668,-75632622,-385619817 inserted
-743584858,-520887679,429415528,-843391685,-389691530,-721283440,843915668,-346260848 inserted
-228806258,652416008 extracted
641958576,-173080924,33767553 inserted
Top: -77036678,-766351620
-612573970,-139832068 inserted
-331333661,-20756667,-887480981 inserted
-722190630 inserted
398100259,-77867245,-832185527 inserted
-722190630 extracted
100586291,-772517851,102754854,775657291 inserted
-257667613,985676365,714821541,79929175,459628846,197265261 inserted
-400240377,-514956950,-29288389,-84849163,-633044657,811460344,382464376,822932886 inserted
-77036678,-766351620 extracted
-922513617,537616742,-810314613,-374316510,872316670,-373402027,-41667643 inserted
-221773770,-165209706 extracted
979296633,660523832,-517394439,222659631,848879978,-170837716,322073803 inserted
80232729,-189210697 inserted
-924725584,-341691242,-246329131,-154766168,-647962452,-778754968,-741028962,627349933,336360909,-686010178 inserted
-424951651,895891367 extracted
13334181,-803025974,-12036983,-775698919,-887504491,935570769,-614710309,-290344334,306359577,938053493 inserted
499516341,-96135802 inserted
313415383 inserted
313415383 extracted
-773263659,-782333558,-305081032,-186299214 inserted
788511972,-906114054,531554523,19370413,-926207361,-130060303,351785317,431080930,-571218334 inserted
-435888142,-137818454 extracted
Top: -499933869,-447081432
-170622136,-376885356,461886104,681657907,960882246,378663593,516909116,-506227815,-508499178 inserted
-132362045,-348458198,-370462640,484992498,-182995457,-886969191,843128827,-391756996,888786882 inserted
Top: -499933869,-447081432
198780831,600494476,580847245,363723807,21869436,-703470620,-604902644 inserted
Top: -499933869,-447081432
-499933869,-447081432 extracted
Top: -439908591,-83925855
-486790598,810174295,-818000261,-319320031,308943112,325049435,-234400392,-333233269 inserted
-439908591,-83925855 extracted
271276722,-679741519,-387556465,798644418,967487977,68360962 inserted
-594386333,-149983656,-786510236,564534473,-116083744,86528216,765933665,-203832424,-719583640 inserted
-945544451,318461975,-132018059,-911700070,-210816651,58835097 inserted
Top: -744920114,-969192077
640410726,814297184,-433641598,706210567,587060880,381700231,542011449,314927070,499507073 inserted
503551761,-592450295,-28154273,-738008012 inserted
-744920114,-969192077 extracted
-972013058,544889502,68946967,-770852784,-341102724,804409010,796300726,299221661,-819479854 inserted
932868765,-465750956,-271630571,-183400633,-465697644 inserted
Top: 688073019,-98091124
688073019,-98091124 extracted
-612122924,-69380150 inserted
-612573970,-139832068 extracted
-894773264,-236911289,-165947171 inserted
-638291960,455695369,305695211,77748294,744221321,-2662509,-252520573 inserted
80232729,-189210697 extracted
499516341,-96135802 extracted
-612122924,-69380150 extracted
388238628,80327900,-30967435,900100207,-876189548,164365669,-268853387,491200584,-29841583,-439150923 inserted
Top: 468058848,500609251,-248353270
-352288276,94464066,-376334503,-674906400,429524478,-324523226,683692438 inserted
-885800561,720526411,223941863,-304882827,-88617759 inserted
622969624,-627511391,-823843123,-769717360,-836187310,-183212746,13609861,75681977,-306031714 inserted
Top: 468058848,500609251,-248353270
-634195101,-254301693,539543421,938912981 inserted
606622368,208570842,374234575,526402153,96232540 inserted
468058848,500609251,-248353270 extracted
-428235596,-633711358,-80844932 extracted
452557136,-174684976,204644758 extracted
299049536,773349640,-981948149 inserted
Top: 750859690,-301407082,-345115148
764455405,-388033314,-732127157,-179110848 inserted
-540340465,-871417972,-252256226,-208897386,-229048584,666662666,-901465136,-531298851,867424758 inserted
787670425,475740156,-712220011,685863302,123425661,-69033104,51791196,300043662,-254720018,944535447 inserted
750859690,-301407082,-345115148 extracted
-105101767,812664347,263917642 inserted
Top: 949850130,495922859,-101353134
Top: 949850130,495922859,-101353134
-553655593,14315814,-797176621,-221889150,-552068608,770368989,662121366,-327778508 inserted
Top: 949850130,495922859,-101353134
Top: 949850130,495922859,-101353134
-761495858 inserted
847534654,-590128482,894638182,-76338455,-217501024,-397025036,704608745,742076013 inserted
26637247,-537445505,-655758769,337120113,650386248,707319312 inserted
916828471 inserted
Top: -761495858
-761495858 extracted
-435799646,642010644,-749063442,-320914764,-591439426,83747328,-820734960 inserted
61838530,-554918444 inserted
Top: 916828471
916828471 extracted
Top: 61838530,-554918444
Top: 61838530,-554918444
-288192543,-940274227,970545466,-358194928,-2571328,-750775079,-849265143 inserted
61838530,-554918444 extracted
949850130,495922859,-101353134 extracted
567081818,-885562582,-664175521 extracted
Top: -842220986,-316801140,-135806808
Top: -842220986,-316801140,-135806808
Top: -842220986,-316801140,-135806808
Top: -842220986,-316801140,-135806808
-110078641 inserted
991904879,-80132675,-316772486 inserted
-518194706,-363954883,-546859120,372185711,-492334578,914078331,-868631278,96902558 inserted
Top: -110078641
-994261761,-398341625,-421868496,743522164,640012663,-766226941,-356790917,128361601,937942598 inserted
-110078641 extracted
Top: -842220986,-316801140,-135806808
-888169266,-848597258,-176287234,585815258,-765973717,-277734732,-976807496,278446313,-400482849 inserted
Top: -842220986,-316801140,-135806808
-931766337,-296998827,223586677,95251302,-909883370,852224807,-24204506 inserted
Top: -842220986,-316801140,-135806808
102811223,987289696,-823499959,-359220983,314027986,713645374,401661442,987488968,157653629,650898949 inserted
-49536696,-20212146,803001572,993473402,940532948,304640583,-406920164,-413221833,83316748 inserted
Top: -842220986,-316801140,-135806808
-842220986,-316801140,-135806808 extracted
740070346,98245711,-463110204 extracted
-299633837,-809744682,-920119533 extracted
-367720293,801028874 inserted
631893257,253391879,198423918,366731880,-500157136,593049582,-523996188,89836992,-790268409 inserted
494176935,-364499938,333065305,428879764,429789604 inserted
Top: -367720293,801028874
505992631,-722528475,465932769,924045206,101530658 inserted
-891741341,-191024287,-177123737,-147459436,790637779,254011473,801715102 inserted
-119330178 inserted
-119330178 extracted
754420140,-911022015,682887224 inserted
Top: -367720293,801028874
-367720293,801028874 extracted
Top: 630860561,-912702411,-403150013
630860561,-912702411,-403150013 extracted
-695612152,74821997,22835335,965242096,-941290416,637219302 inserted
-878638430,-123079626,414144963,-918504975,747939408,-80172288,354749781 inserted
-429190613,-834434779,-463068414 extracted
Top: 297174093,-617473962,891891693
297174093,-617473962,891891693 extracted
-853439041,470831786 inserted
Top: -853439041,470831786
-466712928 inserted
584978460,989019349 inserted
-466712928 extracted
565137592 inserted
Top: 565137592
794384167,77490682,446279115,-156101406,799692324,-835197386,527534879,490254419,134517731,546507034 inserted
565137592 extracted
-853439041,470831786 extracted
-25167055,107012434 inserted
Top: 584978460,989019349
694677178,-853167866,-106439647 inserted
8745502,-522576220,-201197197,522493604,991203365,910512234,-744126436,275216158 inserted
584978460,989019349 extracted
-25167055,107012434 extracted
Top: -284356835,-704106952,632190380
Top: -284356835,-704106952,632190380
236040723,302102234,-65406828,-222779074,-553239798,970707701,-653642794,-532965568 inserted
Top: -284356835,-704106952,632190380
-284356835,-704106952,632190380 extracted
Top: 678468259,-75349513,236451494
Top: 678468259,-75349513,236451494
-916441014,-108446782,-817219449,-396079071,-302281035,111555988 inserted
-248157097 inserted
-248157097 extracted
Top: 678468259,-75349513,236451494
Top: 678468259,-75349513,236451494
-902414828,-180360126,-844320084,347182102,66944394,690487526,-7521769,-895206264 inserted
-300654016,962794211,-333868482,-417103174,608045179 inserted
Top: 678468259,-75349513,236451494
678468259,-75349513,236451494 extracted
Top: 314122093,-13665377,-479997947
Top: 314122093,-13665377,-479997947
519996476,559841333,137747782,457283694,920523619,-185948705,-568381116,538513144,-613347408,-729595932 inserted
-266491229,-39461367 inserted
Top: -266491229,-39461367
814623287,-638766020,-618039314,97337070,929747523,19067658,-537144242,867806330,-427215588,936966876 inserted
Top: -266491229,-39461367
Top: -266491229,-39461367
Top: -266491229,-39461367
-369329771,455950892,669042906,94126142 inserted
Top: -266491229,-39461367
Top: -266491229,-39461367
-977784970,-607977427,625323738,-391540043,479484144,-556039949,-953919153,-697286538,-726289729,-69393026 inserted
-266491229,-39461367 extracted
Top: 314122093,-13665377,-479997947
-917277226,19887003,758774576,-442689765,-226429944,-482868860 inserted
858097553,492985174,369872312,756699755,-154823291,509649596,-66440523,929385218,288336252 inserted
314237850,-968679236,-259162483,-301773622,208856667 inserted
Top: 314122093,-13665377,-479997947
314122093,-13665377,-479997947 extracted
838787023,537667607,224571264,-827269069,-70607923,7578830,-382201010,-612274276,-941690123,-234490810 inserted
-111855522,-70673493,710005706,664591794,464715364,908923871,-384097387 inserted
931483939,-110066449,-207633685 extracted
Top: 387125846,7929390,-500240854
-784087921,335871310,970077515,529887916,841479191 inserted
387125846,7929390,-500240854 extracted
-343197594,134191729,-712623387,159033912,-602555686,937602497,485488677 inserted
225631027,653626814,-822226387 extracted
774762847,996704401,683155580,-539763285 inserted
-982269432,-535714364,-984157882,-382164462,-206360259 inserted
-476272834 inserted
-75519039,46408568,697077190,-998441914,-679343191,-332429117,870755405,905185567,-55563815,305133695 inserted
-476272834 extracted
-80278658,-340391852,-899028003 extracted
Top: -952522330,-854352941,966703524
Top: -952522330,-854352941,966703524
Top: -952522330,-854352941,966703524
-952522330,-854352941,966703524 extracted
Top: -146495105,-562645201,409507104
-146495105,-562645201,409507104 extracted
-754102340,236555579,-97598427 extracted
-909291848,-270022980,-686654907,318928073,127995791 inserted
Top: 617471488,-741986075,-799821066
-818290388,-410313721,238195205 inserted
-857369925,127029081,-35926419 inserted
-63573751,-702188147,525145078 inserted
617471488,-741986075,-799821066 extracted
677093631,-665509658,982591578 extracted
764233393,409477931,590695384 extracted
Top: 488317629,-262597221,718079780
-886312546,977209115,-799991372 inserted
488317629,-262597221,718079780 extracted
-363983226,432883660,803123640 extracted
-593549353,-112201928,862203905,855643685,327065084,313292834 inserted
Top: 203881579,719129951,908143503
Top: 203881579,719129951,908143503
203881579,719129951,908143503 extracted
124704384,924043640,867259247 extracted
276575725,603118495,-180206364 extracted
Top: -647934062,-430787816,-591831991
Top: -647934062,-430787816,-591831991
652079973,-481191473,988688010,383465313 inserted
Top: -647934062,-430787816,-591831991
Top: -647934062,-430787816,-591831991
-974546224,-249128742,-851526585,522714072,393583098 inserted
412573476,-359229429,-400481587,434492680,652023637,834252191,-138806285,-10179736,-697673425 inserted
Top: -647934062,-430787816,-591831991
648439077,850090697,839412754,822693587,677580821,-540816790 inserted
-647934062,-430787816,-591831991 extracted
-354125258,-795626807,417812955,-148511119,23642047,449197800 inserted
Top: -184583798,-592772786,-55391510
-376165073,718892204,775541694,-317808206,-428937094,-451645687 inserted
-184583798,-592772786,-55391510 extracted
341833559,488689434 inserted
-670296046,-87538310,963045130,368335257,-961407991,897622392,20446128,-856381376 inserted
Top: 341833559,488689434
870841855,288251222 inserted
282659713,-145847199,693428215,-902072132,183460598 inserted
814833394,168246631,-32976330,-747802866,794766024,763727283,265722760,53279101,-635685658,543499940 inserted
-390019372,290283582,-843287271,-285180328 inserted
-837572516,-476975586,630014302,-511881168 inserted
223216729,878173831,-607110964,333005908,148089756,-956116605,-404300467,111807591,-618559248 inserted
-874297265,-852698140,-488460013 inserted
213790055 inserted
-699710060,788808369,-563915713,-38335198,-665022553,-611278430,386651268,107329259,398962682 inserted
910648730,-170028220,-719847839,-637236139,98569324,-622012384,-842254284,65321123,37975476 inserted
Top: 213790055
-808070863,71956251,165869757,-321170251,-845716186,-692362123,309192357,257231114,272964695 inserted
742328413,46988550 inserted
-575823124,554033290,-894161324,767674030,429782758,982248526 inserted
579569052,-370695543,309107771 inserted
213790055 extracted
-721665548,248536294,-401861950,-370325632,-281764759,155280307 inserted
341833559,488689434 extracted
870841855,288251222 extracted
-992771546,-92953832,-827264163,19740342,66506116 inserted
742328413,46988550 extracted
Top: -594628767,84756958,197295137
121006068 inserted
402757069,-387380843,-917783043,106353326 inserted
121006068 extracted
513056769,-877372709,-711964416,-891671477,-92779627,742671196,390491532,690645786,-541064337 inserted
-853268516,-277595755,809712424,-795001687,470223072 inserted
173629765,777706670,446596408,690588506,605682330,-927340132,399014902,798055773 inserted
-3426,658895310,-959048266,-807703757,-870349521,499552196 inserted
Top: -594628767,84756958,197295137
-108454417 inserted
-231919795,-672089658,-410648457,62652167,341132532,-679406563,-289216412 inserted
Top: -108454417
32383854,-863338095,937268999,786081098 inserted
-108454417 extracted
-475684573,-661704302,334825295,-147022284,294836618,872358742,-476758974 inserted
Top: -594628767,84756958,197295137
-594628767,84756958,197295137 extracted
982207058,-426028984,-255747112 extracted
Top: 307818737,-787681819,-757696410
307818737,-787681819,-757696410 extracted
819846812,-653363714,-94913150 extracted
448043768,516207079,13955937,232537259 inserted
Top: 710813609,-366429344,117143457
-562750569,-967767637,815105216,-920236152,243634858 inserted
Top: 710813609,-366429344,117143457
710813609,-366429344,117143457 extracted
Top: -866106223,370795435,-539193936
Top: -866106223,370795435,-539193936
-866106223,370795435,-539193936 extracted
Top: -7727614,451668131,-402259079
Top: -7727614,451668131,-402259079
-7727614,451668131,-402259079 extracted
Top: 68354031,220018019,669667410
68354031,220018019,669667410 extracted
693601983,-608664725,628614977,-984869729 inserted
186555014,910141152,717847290 extracted
839220432,434699425,766171642,-506578232,192968560,-12567732 inserted
Top: 561168659,-795552012,503262523
-136115813,661971281,-667404605,-429771418,813304342,-515655280,-5248188 inserted
316936681,746355921,935813664 inserted
Top: 561168659,-795552012,503262523
870294356,-26759095,-385854431,737714053,-939877474,127590485,-405046311,881226786,999249922,840262060 inserted
-71476706,-794868971,-162476846,-603306527 inserted
-596398552,955653510,64748308,224911760 inserted
Top: 561168659,-795552012,503262523
Top: 561168659,-795552012,503262523
561168659,-795552012,503262523 extracted
485090523,-640454005,653127023 extracted
-832369146,-606504624,-77813185 extracted
Top: 766422070,-111919678,-101827083
-504232184,-255640919,689624914,-214892736,-527011035,821829920,150330091,-291997120,552040401,-29145269 inserted
-973321331,-808995050,-450039451,175925348,310660211,-2283530,-81236487,890222341 inserted
Top: 766422070,-111919678,-101827083
-991797138,-576014891,199970691,657355652,650123329,-450642158,687514489,-26876944 inserted
Top: 766422070,-111919678,-101827083
Top: 766422070,-111919678,-101827083
985769804,-665929189 inserted
155494891,-898188827,13638656,-163420431,435907813,548618293,-244452296,-368955437 inserted
-975027438,666641286,-25407798,-869525072,153564307 inserted
985769804,-665929189 extracted
-729031158 inserted
